392,931,863
465,024,292
122,645,536
121,841,830
133,568,704
158,498,860
88,955,787
110,323,115
146,676,345
82,093,746
108,519,599
134,453,584
57,945,595
79,374,808
32,861,127
40,641,805
61,162,027
74,744,658
43,038,456
53,818,565
75,146,511
26,281,186
33,542,670
47,097,172
19,893,331
32,533,215
43,634,806
46,132,724
61,563,880
22,262,656
27,326,004
24,513,033
9,081,878
13,663,002
7,313,725
12,457,443
17,038,567
6,510,019
10,207,066
17,842,273
8,082,871
7,635,207
17,038,567
4,495,128
6,449,741
6,188,536
3,253,402
4,288,575
9,287,627
5,063,348
4,741,865
6,108,166
5,304,460
9,885,584
7,635,207
10,448,178
5,887,950
10,554,267
17,199,308
8,037,060
14,868,561
17,440,420
5,844,550
8,093,319
13,502,261
4,581,124
3,426,199
6,968,131
5,143,718
8,519,284
2,893,342
5,384,830
7,956,689
12,457,443
37,372,329
4,532,902
6,413,574
11,814,478
9,504,627
13,743,373
8,857,644
8,475,080
7,884,356
10,074,455
9,602,679
12,377,072
10,491,578
14,619,412
12,344,924
7,157,806
11,161,869
8,331,216
5,654,072
4,982,977
5,063,348
3,635,966
3,578,099
4,500,754
3,756,522
4,513,613
5,304,460
4,344,031
36,729,364
19,690,797
41,471,230
10,126,696
10,138,751
33,418,095
8,506,424
24,111,180
7,623,955
12,489,591
7,939,812
13,020,037
29,094,157
13,772,306
24,248,614
8,519,284
10,351,733
4,725,791
7,177,095
5,465,201
5,445,912
7,715,578
6,992,242
5,384,830
11,573,366
21,157,560
4,822,236
2,473,807
4,098,901
6,349,277
4,902,607
7,474,466
3,295,195
5,007,892
7,233,354
4,259,642
1,808,339
4,219,457
6,590,389
28,129,710
39,166,201
24,352,292
10,689,290
21,298,209
8,197,801
13,421,890
7,635,207
9,218,508
32,871,575
5,384,026
7,898,823
17,761,903
6,751,130
7,233,354
11,573,366
3,962,271
5,412,156
12,618,184
17,761,099
39,622,706
16,074,120
26,789,932
4,179,271
7,779,874
3,194,731
5,873,483
6,911,872
6,670,760
6,027,795
9,644,472
13,904,114
5,465,201
8,117,431
5,706,313
8,438,913
4,973,333
6,570,297
18,163,756
3,985,578
5,680,594
9,805,213
3,809,566
6,188,536
2,632,941
4,661,495
4,982,977
6,590,389
8,358,542
5,032,807
6,349,277
5,208,015
3,308,054
5,224,089
45,007,536
50,070,884
54,163,355
37,533,070
15,833,008
22,744,880
273,099,299
160,901,941
135,610,921
143,622,262
123,130,974
130,361,113
140,005,585
166,527,883
146,692,419
113,081,434
151,029,217
93,953,231
101,909,921
106,812,527
65,953,722
95,239,161
61,367,775
68,957,975
24,259,062
33,675,281
33,675,281
47,974,015
33,675,281
38,095,664
30,701,569
43,299,661
50,070,884
38,256,406
40,828,265
44,927,165
27,808,228
33,514,540
20,005,850
26,493,365
31,008,585
16,889,078
13,421,890
18,726,350
23,628,956
9,451,583
9,162,248
13,823,743
20,253,391
5,529,497
7,936,597
5,625,942
8,840,766
9,268,338
15,511,526
10,287,437
13,341,520
17,922,644
6,902,227
13,671,039
19,690,797
4,148,730
5,931,350
10,231,177
5,625,942
10,448,178
6,100,129
5,738,461
7,787,911
12,055,590
8,551,432
2,476,218
4,340,012
6,448,937
10,763,231
15,993,749
6,413,574
10,367,807
4,397,879
7,016,353
10,207,066
4,098,901
6,108,166
4,783,658
6,148,351
3,214,824
3,960,663
5,143,718
8,497,584
13,663,002
29,496,010
41,873,083
18,485,238
28,290,451
33,112,687
17,279,679
25,959,704
19,047,832
28,611,934
41,471,230
15,739,778
22,605,035
30,540,828
7,868,282
11,091,143
13,421,890
18,726,350
4,599,609
8,358,542
7,313,725
10,689,290
8,771,647
11,894,849
15,591,896
20,735,615
5,079,422
10,689,290
4,658,280
5,867,054
7,554,836
5,777,842
9,403,360
4,822,236
4,500,754
4,741,865
7,836,134
11,054,976
6,731,038
7,117,620
8,281,387
11,754,200
20,611,040
4,420,383
8,434,091
12,251,694
2,129,821
5,384,830
7,812,022
3,857,789
5,304,460
9,396,931
3,267,869
4,259,642
8,680,025
3,777,418
6,108,166
11,038,098
1,962,650
1,909,605
3,938,159
6,329,185
2,869,230
2,732,600
2,652,230
3,054,083
1,755,294
2,571,859
22,985,992
38,497,517
30,023,241
37,211,588
21,963,678
31,240,052
19,449,685
15,672,267
26,572,128
16,311,213
19,128,203
25,866,474
25,477,480
7,831,311
13,582,631
18,083,385
13,421,890
17,520,791
11,573,366
17,279,679
10,608,919
16,877,826
5,465,201
7,119,228
17,423,542
6,108,166
9,564,101
13,341,520
6,027,795
9,162,248
13,180,778
4,340,012
5,749,713
4,397,879
5,967,517
57,553,387
70,501,090
61,506,816
47,134,142
55,262,825
41,310,488
39,060,112
22,423,397
8,776,470
45,034,862
47,097,172
46,565,922
52,723,114
26,522,298
14,547,079
15,797,645
25,075,627
37,709,886
15,350,785
22,659,687
17,504,717
25,387,465
39,740,047
12,939,667
19,369,315
9,779,495
15,431,155
8,101,356
14,225,596
8,296,657
11,695,530
8,270,135
14,505,286
22,503,768
9,745,739
16,511,336
23,641,012
31,010,192
8,438,913
17,732,969
6,992,242
11,492,996
13,718,458
11,472,099
24,030,809
7,698,700
14,386,337
4,989,407
11,412,625
5,736,853
10,930,402
8,117,431
11,814,478
5,670,950
10,367,807
3,541,932
6,992,242
14,119,507
4,782,051
9,227,349
6,188,536
12,135,961
6,590,389
14,756,042
4,098,901
4,822,236
8,278,172
3,893,956
5,304,460
3,803,137
5,867,054
4,018,530
3,536,306
4,581,124
7,554,836
16,234,861
4,855,992
10,874,142
3,938,159
6,448,937
6,188,536
6,831,501
11,492,996
4,581,124
6,992,242
5,063,348
8,438,913
17,761,903
4,050,678
10,046,325
15,672,267
30,392,946
12,135,961
19,208,573
11,686,689
22,604,231
11,727,678
6,751,130
8,195,390
14,454,652
6,108,166
9,805,213
6,429,648
11,727,678
2,504,348
10,126,696
4,764,369
7,956,689
5,658,090
11,093,554
17,970,866
4,018,530
6,429,648
5,867,054
8,438,913
4,179,271
6,188,536
3,536,306
5,384,830
2,652,230
4,661,495
11,171,513
2,973,712
4,259,642
3,536,306
5,143,718
3,697,048
5,063,348
4,661,495
3,869,844
4,580,320
3,978,345
11,161,869
3,295,195
6,100,129
3,697,048
5,224,089
34,880,840
20,084,613
25,155,998
13,576,202
29,050,757
9,322,990
18,576,860
6,349,277
10,287,437
7,301,669
17,302,183
5,384,830
7,956,689
4,259,642
6,031,010
6,519,663
4,179,271
5,622,727
9,374,427
4,262,857
6,048,691
9,199,219
5,012,714
383,927,141
18,404,867
19,047,832
27,326,004
43,560,865
16,564,381
23,146,733
12,860,903
18,999,610
20,173,021
10,608,919
13,421,890
20,173,021
24,834,515
9,437,116
14,929,643
9,162,248
12,859,296
11,814,478
5,143,718
8,840,766
15,672,267
6,590,389
11,171,513
8,840,766
10,998,717
5,063,348
12,094,168
4,500,754
6,831,501
12,236,424
4,822,236
6,570,297
13,964,392
2,970,497
4,806,162
11,378,066
15,973,657
4,260,446
4,902,607
5,034,414
7,152,983
3,616,677
4,139,086
6,590,389
6,306,681
10,898,253
11,653,737
9,965,954
9,027,226
9,242,619
9,041,693
13,341,520
7,152,983
15,569,393
8,840,766
11,894,849
11,023,631
11,492,996
8,093,319
11,412,625
7,825,685
12,537,814
12,216,331
9,403,360
5,465,201
6,027,795
5,546,375
12,542,636
4,581,124
8,760,395
3,938,159
5,786,683
4,066,752
12,457,443
22,021,544
15,350,785
29,174,528
41,712,341
19,288,944
19,128,203
13,020,037
18,485,238
13,743,373
18,565,609
30,299,716
12,939,667
17,520,791
22,985,992
9,242,619
12,050,768
26,522,298
11,332,255
16,636,714
22,825,250
9,724,843
16,475,973
7,233,354
4,836,703
9,215,293
18,670,090
3,775,811
6,027,795
7,233,354
4,557,817
8,744,321
16,299,158
4,340,012
7,651,281
15,831,401
4,448,513
3,938,159
4,902,607
3,536,306
5,384,830
3,896,367
5,465,201
8,680,025
10,367,807
13,582,631
5,670,146
6,080,036
7,898,823
5,979,573
6,751,130
9,403,360
10,689,290
7,072,613
9,965,954
13,341,520
4,420,383
6,027,795
7,152,983
3,455,936
4,661,495
4,741,865
21,619,691
7,969,549
10,287,437
23,493,934
4,179,271
4,340,012
5,625,942
6,670,760
7,072,613
9,081,878
16,877,826
11,091,143
13,904,114
2,899,771
3,455,936
6,188,536
8,921,137
10,528,549
5,706,313
4,982,977
3,536,306
32,630,464
9,644,472
7,233,354
6,831,501
6,596,819
9,885,584
7,876,319
7,072,613
2,587,933
2,883,697
3,697,048
2,513,992
2,854,764
3,536,306
3,054,083
4,581,124
7,611,900
14,738,361
2,507,563
1,928,894
2,089,636
4,140,693
1,848,524
9,965,954
6,751,130
4,902,607
4,581,124
4,559,424
81,817,271
10,956,120
8,037,060
4,759,547
5,736,853
9,114,026
4,489,502
11,734,108
9,885,584
6,349,277
7,635,207
6,019,758
16,395,602
10,126,696
12,537,814
14,707,820
9,081,878
9,885,584
11,653,737
8,857,644
21,619,691
37,693,811
13,502,261
17,279,679
9,483,731
11,332,255
15,334,710
11,091,143
23,628,956
43,319,753
15,270,414
9,724,843
11,573,366
16,469,543
19,047,832
7,784,696
8,117,431
13,888,040
17,257,175
22,021,544
7,554,836
16,717,085
5,260,256
11,492,996
19,288,944
4,669,532
4,757,940
4,179,271
9,001,507
15,431,155
6,429,648
11,492,996
16,315,232
5,465,201
11,171,513
5,947,424
12,253,302
4,500,754
8,680,025
23,403,919
14,145,226
42,206,621
18,565,609
32,469,722
8,117,431
22,762,561
13,904,114
24,754,145
34,806,899
6,879,723
9,765,028
21,955,641
7,072,613
8,760,395
6,027,795
11,197,232
8,088,497
10,528,549
4,597,198
44,364,571
41,390,859
34,398,617
27,406,375
15,752,638
6,992,242
5,545,571
9,483,731
14,707,820
31,585,646
5,063,348
9,242,619
4,982,977
10,126,696
4,741,865
9,805,213
3,616,677
3,134,453
5,384,830
13,582,631
5,143,718
8,117,431
2,447,285
2,413,529
3,536,306
3,375,565
2,349,233
6,188,536
2,378,970
3,777,418
4,982,977
3,604,621
2,829,045
2,801,719
3,616,677
6,831,501
10,539,800
15,845,867
10,500,419
15,416,688
4,259,642
6,429,648
4,018,530
6,374,192
13,020,037
16,154,491
21,619,691
7,554,836
9,403,360
4,098,901
4,098,901
4,098,901
4,018,530
4,018,530
4,018,530
7,795,948
10,126,696
13,100,408
7,795,948
10,126,696
13,100,408
7,795,948
10,126,696
13,100,408
2,491,489
2,491,489
2,865,212
9,188,771
11,251,884
15,350,785
9,188,771
11,251,884
15,350,785
9,188,771
11,251,884
15,350,785
7,143,339
