1308111	Pharyngeal & Laryngeal Proc. w/ Mild CC
1308112	Pharyngeal & Laryngeal Proc. w/ Moderate CC
1309110	Tracheostomy Proc. w/ No CC
1309111	Tracheostomy Proc. w/ Mild CC
1310119	Cleft Lip & Palate Repair Proc.
1311119	Rhinoplasty Proc.
1312119	Tonsil and Adenoid Procedures
1313119	Minor Nose & Sinus Proc.
1314119	Myringotomy w/ Ear Insertion & Other Ear Proc.
1316119	Oral Surgery Proc.
1317119	Misc. ENT & Mouth Proc.
1318119	Minor Head & Neck Proc.
1361110	ENT Malignant Neoplasms w/ No CC
1361111	ENT Malignant Neoplasms w/ Mild CC
1361112	ENT Malignant Neoplasms w/ Moderate CC
1362119	ENT Trauma & Deformity
1363119	OM & URI
1364110	Epiglottitis & Cellulitis of Face-Neck w/ No CC
1364111	Epiglottitis & Cellulitis of Face-Neck w/ Mild CC
1365110	ENT Benign Neoplasms w/ No CC
1365111	ENT Benign Neoplasms w/ Mild CC
1367119	Epistaxis
1368110	Hard Tissue in Oral Cavity w/ No CC
1368111	Hard Tissue in Oral Cavity w/ Mild CC
1369119	Other ENT-Mouth Diagnosis
1370119	Disequilibrium
1371110	Soft Tissue in Oral Cavity w/ No CC
1371111	Soft Tissue in Oral Cavity w/ Mild CC
1402110	Major Thorax Procedures w/ No CC
1402111	Major Thorax Procedures w/ Mild CC
1403119	Major Chest Procedures
1404110	Moderate Thorax Procedures w/ No CC
1404111	Moderate Thorax Procedures w/ Mild CC
1405110	Moderate Chest Procedures w/ No CC
1405111	Moderate Chest Procedures w/ Mild CC
1406110	Minor Thorax Procedures w/ No CC
1406111	Minor Thorax Procedures w/ Mild CC
1406112	Minor Thorax Procedures w/ Moderate CC
1407110	Minor Chest Procedures w/ No CC
1407111	Minor Chest Procedures w/ Mild CC
1407112	Minor Chest Procedures w/ Moderate CC
1408110	Airway Procedures w/ No CC
1408111	Airway Procedures w/ Mild CC
1408112	Airway Procedures w/ Moderate CC
1409110	Pulmonary Physiology Procedures w/ No CC
1409111	Pulmonary Physiology Procedures w/ Mild CC
1410110	Non Invasive Ventilation and Oxygen Procedures w/ No CC
1410111	Non Invasive Ventilation and Oxygen Procedures w/ Mild CC
1410112	Non Invasive Ventilation and Oxygen Procedures w/ Moderate CC
1412119	Other Respiratory System OR Procedures
1413119	Ventilator Support
1461110	Major Chest Trauma w/ No CC
1461111	Major Chest Trauma w/ Mild CC
1462110	Pulmonary Edema dan Respiratory Distress w/ No CC
1462111	Pulmonary Edema dan Respiratory Distress w/ Mild CC
1463119	Respiratory Drug Resistance TB
1463219	Respiratory Drug Resistance
1464110	Respiratory System Neoplasms w/ No CC
1464111	Respiratory System Neoplasms w/ Mild CC
1464112	Respiratory System Neoplasms w/ Moderate CC
1465110	Pneumothorax w/ No CC
1465111	Pneumothorax w/ Mild CC
1466110	Pleural Effusion w/ No CC
1466111	Pleural Effusion w/ Mild CC
1467110	Respiratory Tuberculosis w/ No CC
1467111	Respiratory Tuberculosis w/ Mild CC
1467112	Respiratory Tuberculosis w/ Moderate CC
1468110	Respiratory Infections and Inflammation w/ No CC
1468111	Respiratory Infections and Inflammation w/ Mild CC
1468112	Respiratory Infections and Inflammation w/ Moderate CC
1469110	Chronic Obstructive Pulmonary Disease (COPD) w/ No CC
1469111	Chronic Obstructive Pulmonary Disease (COPD) w/ Mild CC
1470110	Bronchitis and Asthma w/ No CC
1470111	Bronchitis and Asthma w/ Mild CC
1471110	Cystic Lung Diseases w/ No CC
1471111	Cystic Lung Diseases w/ Mild CC
1471112	Cystic Lung Diseases w/ Moderate CC
1472110	Interstitial Lung Disease w/ No CC
1472111	Interstitial Lung Disease w/ Mild CC
1473119	Sleep Related Breathing Disorders
1474110	Respiratory Signs and Symptoms & Other Respiratory Diseases w/ No CC
1474111	Respiratory Signs and Symptoms & Other Respiratory Diseases w/ Mild CC
1501110	Acute MI w PTCA w (+Stent) w/ No CC
1501111	Acute MI w PTCA w (+Stent) w/ Mild CC
1501112	Acute MI w PTCA w (+Stent) w/ Moderate CC
1501219	Acute MI w PTCA
1502110	Acute MI w Cath w/ No CC
1502111	Acute MI w Cath w/ Mild CC
1503119	Thoracoabdominal Procedures Combination
1504119	Multiple Valve Procedures w Cath
1504219	Multiple Valve Procedures
1505119	Valve Replacement & Open Valvuloplasty w Cath
1505219	Valve Replacement & Open Valvuloplasty
1506110	Complex Cardiothoracic Procedures w/ No CC
1506111	Complex Cardiothoracic Procedures w/ Mild CC
1507119	Coronary Bypass w PTCA
1507219	Coronary Bypass w Cath
1507310	Coronary Bypass w/ No CC
1507311	Coronary Bypass w/ Mild CC
1508110	Complex Cardiovascular Procedures w/ No CC
1508111	Complex Cardiovascular Procedures w/ Mild CC
1508112	Complex Cardiovascular Procedures w/ Moderate CC
1509110	Major Cardiothoracic Procedures w/ No CC
1509111	Major Cardiothoracic Procedures w/ Mild CC
1510119	Other Cardiothoracic Procedures
1511119	Cardioverter Procedures
1512110	Major Cardiovascular Procedures w/ No CC
1512111	Major Cardiovascular Procedures w/ Mild CC
1513119	Other Cardiovascular Procedures
1514119	Permanent Pacemaker Insertion
1515119	Major Cardiac Electrophysiologic Proc.
1516319	PTCA (+Stent)
1516410	PTCA w/ No CC
1516411	PTCA w/ Mild CC
1517119	PTA (+Stent)
1517219	PTA
1518119	Permanent Pacemaker Revision
1519119	Permanent Pacemaker Replacement
1520119	Minor Cardiac Electrophysiologic Proc.
1521119	Major Cardiac Diagnostic Procedures
1522110	Other Vascular Procedures w/ No CC
1522111	Other Vascular Procedures w/ Mild CC
1522112	Other Vascular Procedures w/ Moderate CC
1523119	Vein Procedures
1524110	Major Amputation w/ No CC
1524111	Major Amputation w/ Mild CC
1524112	Major Amputation w/ Moderate CC
1525119	Cardiac Angiography
1526110	Other Circulatory Procedures w/ No CC
1526111	Other Circulatory Procedures w/ Mild CC
1526112	Other Circulatory Procedures w/ Moderate CC
1527210	Gangrene w Wound Debridement w/ No CC
1527211	Gangrene w Wound Debridement w/ Mild CC
1527310	Other Circulatory Wound Debridement w/ No CC
1527311	Other Circulatory Wound Debridement w/ Mild CC
1528110	Minor Amputation w/ No CC
1528111	Minor Amputation w/ Mild CC
1561110	Acute MI w Thrombolitic Injection w/ No CC
1561111	Acute MI w Thrombolitic Injection w/ Mild CC
1561112	Acute MI w Thrombolitic Injection w/ Moderate CC
1561210	Acute MI w/ No CC
1561211	Acute MI w/ Mild CC
1562119	Infective Endocarditive
1563110	Heart Failure w/ No CC
1563111	Heart Failure w/ Mild CC
1563112	Heart Failure w/ Moderate CC
1564110	Venous Thrombosis w/ No CC
1564111	Venous Thrombosis w/ Mild CC
1565119	Skin Ulcer for Circulatory Disorders
1566110	Peripheral Vascular w/ No CC
1566111	Peripheral Vascular w/ Mild CC
1566112	Peripheral Vascular w/ Moderate CC
1567119	Coronary Atherosclerosis
1568110	Hypertension w/ No CC
1568111	Hypertension w/ Mild CC
1569110	Congenital Heart Diseases w/ No CC
1569111	Congenital Heart Diseases w/ Mild CC
1569112	Congenital Heart Diseases w/ Moderate CC
1570110	Valvular Disorders w/ No CC
1570111	Valvular Disorders w/ Mild CC
1571110	Major Arrhythmia and Cardiac Arrest w/ No CC
1571111	Major Arrhythmia and Cardiac Arrest w/ Mild CC
1571112	Major Arrhythmia and Cardiac Arrest w/ Moderate CC
1572110	Non-Major Arrhythmia and Conduction Disorders w/ No CC
1572111	Non-Major Arrhythmia and Conduction Disorders w/ Mild CC
1573110	Unstable Angina w/ No CC
1573111	Unstable Angina w/ Mild CC
1574119	Syncope and Collapse
1575119	Chest Pain
1576110	Other Circulatory System Diagnosis w/ No CC
1576111	Other Circulatory System Diagnosis w/ Mild CC
1576112	Other Circulatory System Diagnosis w/ Moderate CC
1601419	Laparoscopic for Gastrointestinal Tract Proc.
1602219	Stomach, Eso & Duodenum Resection Open Proc. w Malignancy
1602410	Stomach, Eso & Duodenum Resection Open Proc. w/ No CC
1602411	Stomach, Eso & Duodenum Resection Open Proc. w/ Mild CC
1603119	Other Stomach, Eso & Duodenum Proc. w Malignancy
1603210	Other Stomach, Eso & Duodenum Proc. w/ No CC
1603211	Other Stomach, Eso & Duodenum Proc. w/ Mild CC
1604110	Rectal Resection Proc. w/ No CC
1604111	Rectal Resection Proc. w/ Mild CC
1604112	Rectal Resection Proc. w/ Moderate CC
1606210	Major Small & Large Bowel Open Proc. w/ No CC
1606211	Major Small & Large Bowel Open Proc. w/ Mild CC
1606212	Major Small & Large Bowel Open Proc. w/ Moderate CC
1607110	Other Digestive System OR Proc. w/ No CC
1607111	Other Digestive System OR Proc. w/ Mild CC
1607112	Other Digestive System OR Proc. w/ Moderate CC
1607113	Other Digestive System OR Proc. w/ Severe CC
1608110	Other Gastroscopy w/ No CC
1608111	Other Gastroscopy w/ Mild CC
1609110	Minor Small & Large Bowel Proc. w/ No CC
1609111	Minor Small & Large Bowel Proc. w/ Mild CC
1610110	Peritoneal Adhesiolysis Proc. w/ No CC
1610111	Peritoneal Adhesiolysis Proc. w/ Mild CC
1610112	Peritoneal Adhesiolysis Proc. w/ Moderate CC
1610113	Peritoneal Adhesiolysis Proc. w/ Severe CC
1612110	Appendectomy Procedures w Complicating PDx w/ No CC
1612111	Appendectomy Procedures w Complicating PDx w/ Mild CC
1612210	Appendectomy Procedures w/ No CC
1612211	Appendectomy Procedures w/ Mild CC
1612212	Appendectomy Procedures w/ Moderate CC
1613110	Hernia Procedures w/ No CC
1613111	Hernia Procedures w/ Mild CC
1616119	Complex Therapeutic Colonoscopy Proc.
1617110	Colonoscopy Proc. w/ No CC
1617111	Colonoscopy Proc. w/ Mild CC
1618110	Major Anal and Stomal Procedures w/ No CC
1618111	Major Anal and Stomal Procedures w/ Mild CC
1618210	Minor Anal and Stomal Procedures w/ No CC
1618211	Minor Anal and Stomal Procedures w/ Mild CC
1618212	Minor Anal and Stomal Procedures w/ Moderate CC
1618213	Minor Anal and Stomal Procedures w/ Severe CC
1620119	Other Esophageal Procedures
1661110	Digestive System Neoplasms w/ No CC
1661111	Digestive System Neoplasms w/ Mild CC
1661112	Digestive System Neoplasms w/ Moderate CC
1662110	Gastrointestinal Hemorrhage w/ No CC
1662111	Gastrointestinal Hemorrhage w/ Mild CC
1662112	Gastrointestinal Hemorrhage w/ Moderate CC
1663110	Complicated Peptic Ulcer w/ No CC
1663111	Complicated Peptic Ulcer w/ Mild CC
1663112	Complicated Peptic Ulcer w/ Moderate CC
1664119	Uncomplicated Peptic Ulcer
1665110	Inflammatory Bowel Diseases w/ No CC
1665111	Inflammatory Bowel Diseases w/ Mild CC
1666110	Gastrointestinal Obstruction w/ No CC
1666111	Gastrointestinal Obstruction w/ Mild CC
1666112	Gastrointestinal Obstruction w/ Moderate CC
1667119	Gastroenteritis Disorders
1668110	Misc. Digestive Disorders w/ No CC
1668111	Misc. Digestive Disorders w/ Mild CC
1668112	Misc. Digestive Disorders w/ Moderate CC
1669119	Digestive System Disorders
1670119	Abdominal Pain or Mesenteric Adenitis
1671110	Intestinal Helminthiasis w/ No CC
1671111	Intestinal Helminthiasis w/ Mild CC
1672110	Esophagitis, Gastritis & Dyspepsia w/ No CC
1672111	Esophagitis, Gastritis & Dyspepsia w/ Mild CC
1701410	Pancreas, Liver Resection & Shunt Proc. w/ No CC
1701411	Pancreas, Liver Resection & Shunt Proc. w/ Mild CC
1702110	Biliary Tract Proc. w Malignancy w/ No CC
1702111	Biliary Tract Proc. w Malignancy w/ Mild CC
1702210	Biliary Tract Proc. w/ No CC
1702211	Biliary Tract Proc. w/ Mild CC
1703119	Pancreas & Liver Proc. except Resection w Malignancy
1703210	Pancreas & Liver Proc. except Resection w/ No CC
1703211	Pancreas & Liver Proc. except Resection w/ Mild CC
1704210	Laparoscopic Cholecystectomy Proc. w/ No CC
1704211	Laparoscopic Cholecystectomy Proc. w/ Mild CC
1704212	Laparoscopic Cholecystectomy Proc. w/ Moderate CC
1705119	Cholecystectomy Proc. w CDE Proc.
1705210	Cholecystectomy Proc. w/ No CC
1705211	Cholecystectomy Proc. w/ Mild CC
1706119	Hepatobiliary Diagnostic Proc.
1707110	Other Hepatobiliary & Pancreas Proc. w/ No CC
1707111	Other Hepatobiliary & Pancreas Proc. w/ Mild CC
1708110	ERCP w Therapeutic Procedures w/ No CC
1708111	ERCP w Therapeutic Procedures w/ Mild CC
1709110	ERCP Procedures w/ No CC
1709111	ERCP Procedures w/ Mild CC
1761110	Cirrhosis & Alcoholic Hepatitis w/ No CC
1761111	Cirrhosis & Alcoholic Hepatitis w/ Mild CC
1761112	Cirrhosis & Alcoholic Hepatitis w/ Moderate CC
1762110	Malignancy of Hepatobiliary of Pancreas w/ No CC
1762111	Malignancy of Hepatobiliary of Pancreas w/ Mild CC
1762112	Malignancy of Hepatobiliary of Pancreas w/ Moderate CC
1763110	Pancreas Disorders except malignancy w/ No CC
1763111	Pancreas Disorders except malignancy w/ Mild CC
1763112	Pancreas Disorders except malignancy w/ Moderate CC
1764110	Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic w/ No CC
1764111	Liver Disorders except Malignancy, Cirrhosis, Hepatitis Alcoholic w/ Mild CC
1765110	Biliary Tract Disorders w/ No CC
1765111	Biliary Tract Disorders w/ Mild CC
1803110	Bilateral or Multiple Major Joint or Lower Extremity Proc. w/ No CC
1803111	Bilateral or Multiple Major Joint or Lower Extremity Proc. w/ Mild CC
1805119	Long Spinal Fusion Proc.
1806110	Spinal Fusion Proc. w/ No CC
1806111	Spinal Fusion Proc. w/ Mild CC
1807119	Hip Revision Proc.
1808119	Knee Revision Proc.
1811119	Other Major Joint Replacement & Limb Reattachment of Lower/Upper Extremities Proc.
1812119	Reattachment of Finger Proc.
1813110	Knee Replacement Proc. w/ No CC
1813111	Knee Replacement Proc. w/ Mild CC
1814110	Hip Replacement Proc. w/ No CC
1814111	Hip Replacement Proc. w/ Mild CC
1816119	Arthroscopy w/ Complex Proc.
1816219	Arthroscopy Proc.
1817110	Hip & Femur Proc. except Replacement Proc. (Age Above 18) w/ No CC
1817111	Hip & Femur Proc. except Replacement Proc. (Age Above 18) w/ Mild CC
1817112	Hip & Femur Proc. except Replacement Proc. (Age Above 18) w/ Moderate CC
1817210	Hip & Femur Proc. except Replacement Proc. w/ No CC
1817211	Hip & Femur Proc. except Replacement Proc. w/ Mild CC
1818119	Knee Proc. except Replacement Proc.
1819110	Back & Neck Proc. except Spinal Fusion Proc. w/ No CC
1819111	Back & Neck Proc. except Spinal Fusion Proc. w/ Mild CC
1820110	Humerus, Tibia, Fibula, Ankle Proc. (Age Above 18) w/ No CC
1820111	Humerus, Tibia, Fibula, Ankle Proc. (Age Above 18) w/ Mild CC
1820210	Humerus, Tibia, Fibula, Ankle Proc. w/ No CC
1820211	Humerus, Tibia, Fibula, Ankle Proc. w/ Mild CC
1821110	Shoulder, Elbow & Forearm Proc. w/ No CC
1821111	Shoulder, Elbow & Forearm Proc. w/ Mild CC
1822110	Wrist & Hand Proc. w/ No CC
1822111	Wrist & Hand Proc. w/ Mild CC
1823110	Foot Procedures w/ No CC
1823111	Foot Procedures w/ Mild CC
1824119	Malignancy of Soft Tissue Proc.
1824210	Soft Tissue & Other Musculoskeletal Proc. w/ No CC
1824211	Soft Tissue & Other Musculoskeletal Proc. w/ Mild CC
1825110	Maxillofacial Fracture Proc. w/ No CC
1825111	Maxillofacial Fracture Proc. w/ Mild CC
1826110	Amputation for Musculoskeletal & Connective Tissue Disorders Proc. w/ No CC
1826111	Amputation for Musculoskeletal & Connective Tissue Disorders Proc. w/ Mild CC
1827110	Biopsy of Musculoskeletal & Connective Tissue Disorders Proc. w/ No CC
1827111	Biopsy of Musculoskeletal & Connective Tissue Disorders Proc. w/ Mild CC
1828119	Skin Graft except Hand Proc. for MS&CT w Debridement
1828210	Skin Graft except Hand Proc. for MS&CT w/ No CC
1828211	Skin Graft except Hand Proc. for MS&CT w/ Mild CC
1829110	Other Musculoskeletal System & Connective Tissue OR Proc. w/ No CC
1829111	Other Musculoskeletal System & Connective Tissue OR Proc. w/ Mild CC
1830110	Wound Debridement for MS&CT w/ No CC
